"Input","Query"
"filmler tablosunda 2022 de çıkan ilk film nedir","SELECT FilmName FROM films WHERE FilmDate= 2022 ORDER BY FilmDate ASC LIMIT 1"
"personeller tablosundan sadece kadınların adreslerini göster","SELECT Address FROM employees WHERE Gender = ‘kadın’"
"işçiler tablosundaki toplam maaş tutarını getir","SELECT SUM(Salary) FROM Employee"
"hasta kabul tablosundan giriş tarihi son 2 saate ait olan kadın hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -2, GETDATE()) AND Gender= ‘kadın’"
"müşteriler tablosundaki Ali Can ve Ahmet Melik adlı kişilerin adreslerini ekrana getir","SELECT CustomerName,Address FROM customers WHERE CustomerName IN (""Ali Can "",""Ahmet Melik"")"
"öğrenciler tablosunda mail adresi eksik olanları ekrana getir","SELECT * FROM students WHERE Mail IS NULL"
"personeller tablosundan nin adresini ekrana getir","SELECT Address FROM employees WHERE Name = 'berk tolga'"
"dersler tablosunda ahmet ekin adlı hocanın verdiği dersler nelerdir","SELECT LessonName FROM lessons WHERE Teacher= Ahmet Ekin'"
"personeller tablosundan özgür kulu nun adresini yazdır","SELECT Address FROM employees WHERE Name = özgür kulu'"
"unvanlar tablosundan temizlikçi personellerini doğum tarihlerine göre listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY Date_of_birth"
"hastalar tablosundan kan grubu A olan erkek hastaları yazdır","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “ AND Gender =”erkek”"
"ürünler tablosundan çadır ilk ne zaerkek satıldı","SELECT MIN(DateOfSale) FROM products WHERE ProductName= 'Çadır';"
"bölümler tablosundan Enerji bölümünde okuyan toplam öğrenci sayısı kaçtır","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Enerji”"
"işçiler tablosundaki tüm işçilerin maaşlarını göster","SELECT Name ,Salary FROM employees"
"kitaplar tablosundaki en fazla sayfa sayısına ait kitabın adı nedir","SELECT Book_Name FROM books ORDER BY Page_Number DESC LIMIT 1;"
"müşteriler tablosundaki maaş aralığı 10.000 ve 20.000 arasında olan kişileri listele","SELECT CustomerName,Salary FROM customers WHERE Salary BETWEEN 10000 AND 20000"
"filmler tablosundan Türk yapımı filmleri getir","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye"
"dersler tablosundan kredi sayısı 2 olan dersleri göster","SELECT * FROM lessons WHERE credit=2"
"öğrenciler tablosundan 8864006 numaralı öğrencinin vize ve final notlarını yazdır","SELECT students.No,Vize,Final FROM notes WHERE No=8864006;"
"işçi tablosundaki Ankara da yaşayan kaç kişi var göster","SELECT COUNT(Name) FROM employees"
"personeller tablosundan mesut tekser in adresini göster","SELECT Address FROM employees WHERE Name = 'mesut tekser’';"
"müşteriler tablosundan Türkiye dışındaki müşterileri getir","SELECT CustomerName, Country FROM customers WHERE Country !=""Turkiye"""
"ürünler tablosundan birim fiyatı en yüksek olan ürünü yazdır","SELECT ProductName,MAX(Price) FROM products"
"unvanlar tablosundan temizlikçi personellerini alfabetik sırala","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY Name ASC"
"öğrenciler tablosunda kayıt yenilemeyen son 10 kişileri göster","SELECT * FROM students WHERE RenewReg= “False” ORDER BY No DESC LIMIT 10"
"personeller tablosundan sadece kadınların adreslerini göster","SELECT Address FROM employees WHERE Gender=’kadın’;"
"filmler tablosundan Amerikan yapımı filmleri getir","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Amerika”"
"kitaplar tablosundaki en az sayfa sayısına sahip kitabın adı nedir","SELECT Book_Name FROM books ORDER BY Page_Number ASC LIMIT 1;"
"müşteriler tablosunda hangi müşterinin yaşı 30 un altında","SELECT CustomerName,Years FROM customers WHERE Years<30"
"çiçekler tablosundan açelya kaydını sil","DELETE FROM flowers WHERE Name =’ açelya ';"
"öğrenciler tablosunda maili eksik olanları getir","SELECT * FROM students WHERE Mail IS NULL"
"müsteriler tablosundan Türkiye oturan kişilerin isimlerini listele","SELECT CustomerName, Country FROM customers WHERE Country =""Turkiye"""
"unvanlar tablosundan stajyerlerin isimlerini doğum tarihlerine göre sırala","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Stajyer"" ORDER BY Date_of_birth"
"çiçekler tablosundan karahindiba kaydını sil","DELETE FROM flowers WHERE Name =’ karahindiba';"
"filmler tablosundan Rus yapımı filmleri süresine göre sırala","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Rus” ORDER BY Duration"
"çiçekler tablosundan susen kaydını sil","DELETE FROM flowers WHERE Name =’ susen';"
"ürünler tablosunda en son eklenen ürün nedir","SELECT ProductName,MAX(ProductID) FROM products"
"çiçekler tablosundan akasya kaydını sil","DELETE FROM flowers WHERE Name =’ akasya';"
"tedarikçiler tablosundan kaç kişi Ankarada yaşıyor","SELECT * FROM suppliers WHERE Address =”Ankara”"
"ürün tablosunda birim fiyatı 40 ile 100 arasındaki ürünleri sırala","SELECT ProductName,Price FROM products WHERE Price BETWEEN 40 AND 100"
"siparişler tablosunda gönderici kimliği 3 olanları göster","SELECT * FROM Orders WHERE ShipperID= 3"
"çiçekler tablosundan şakayık kaydını sil","DELETE FROM flowers WHERE Name =’ sakayik';"
"filmler tablosunda onur ünlü tarafından yönetilen filmler nedir","SELECT * FROM films WHERE Director = 'onur ünlü ';"
"dersler tablosunda hangi dersler 3 kredi","SELECT * FROM lessons WHERE credit=3"
"kategoriler tablosundaki kategori açıklamalarının ne olduğunu söyle","SELECT Description FROM categories"
"çiçekler tablosundan aslanagzı kaydını sil","DELETE FROM flowers WHERE Name =’ aslanagzi';"
"personeller tablosundan temmuz ayında doğanların listesi","SELECT * FROM employees WHERE MONTH(Date_of_birth) = 7"
"kitaplar tablosundaki en az sayfa sayısına sahip kitabı yazdır","SELECT Book_Name FROM books ORDER BY Page_Number ASC LIMIT 1"
"bana çalışanlar tablosundaki 1 haziran 1955 doğumlu çalışanları göster","SELECT * FROM employees WHERE Birthdate = '01-06-1955';"
"dersler tablosundan kredi sayısı 3 olan dersleri getir","SELECT * FROM lessons WHERE credit=3"
"çiçekler tablosundan terslale kaydını sil","DELETE FROM flowers WHERE Name =’ terslale';"
"filmler tablosunda George Miller tarafından yönetilen filmler nedir","SELECT * FROM films WHERE Director = 'George Miller';"
"ürünler tablosundan çadır ın son satıs yılı nedir","SELECT MAX(DateOfSale) FROM products WHERE ProductName= “Çadır”;"
"personeller tablosunda elif seymen nerede yaşıyor","SELECT Address FROM employees WHERE Name = ' elif seymen ';"
"personeller tablosundan adresi olanları getir","SELECT * FROM employees WHERE Address IS NOT NULL;"
"çiçekler tablosundan azelya kaydını sil","DELETE FROM flowers WHERE Name =’ azelya'"
"müşteriler tablosundaki Türkiyeden olmayan müşterileri getir","SELECT * FROM customers WHERE Country !=""Turkiye"""
"siparişler tablosundan sipariş yılı 1998 olan müşteriler kimdir?","SELECT * FROM Orders WHERE OrderDate = 1998"
"öğrenciler tablosunda maili eksik olanları listele","SELECT * FROM students WHERE Mail IS NULL"
"Çiçekler tablosundan orkide yi rezene olarak degistir","UPDATE flowers SET Name= 'rezene' WHERE Name= ‘orkide’"
"dersler tablosunda sevgi seda adlı hocanın verdiği dersler nelerdir","SELECT LessonName FROM lessons WHERE Teacher= “Sevgi seda”"
"işçiler tablosundaki tüm işçi isimlerini ve maaşlarını göster","SELECT Name ,Salary FROM employees"
"çiçekler tablosundan begonya kaydını sil","DELETE FROM flowers WHERE Name =’ begonya ';"
"şehirler tablosundaki en düşük nüfuslu şehir","SELECT MIN(Pop ) FROM cities;"
"Çiçekler tablosundan orkide yi sarmaşık olarak degistir","UPDATE flowers SET Name= 'sarmasik' WHERE Name= ‘orkide’"
"öğrenciler tablosundan 323132 numaralı öğrencinin vize ve final notlarını ekrana yazdır","SELECT students.No,Visa,Final FROM notes WHERE No= 323132 ;"
"personeller tablosundan simge öztürkün adresini yazdır","SELECT Address FROM employees WHERE Name = ' simge öztürk'"
"hasta kabul tablosundan sadece erkek hastaları listele","SELECT * FROM patient_admission WHERE Gender=‘erkek’"
"çiçekler tablosundan biberiye yi sil","DELETE FROM flowers WHERE Name =’ biberiye ';"
"ürünler tablosundan kulaklık ilk ne zaerkek satıldı","SELECT MIN(DateOfSale) FROM products WHERE ProductName= “Kulaklık”;"
"öğrenciler tablosunda kayıt yenilemeyen son 10 kişiyi listele","SELECT * FROM students WHERE RenewReg= “False” ORDER BY DESC No LIMIT 10"
"unvanlar tablosundan temizlikçi personellerini alfabetik listele","SELECT titles.TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY Name ASC"
"çiçekler tablosundan yanardöner kaydını sil","DELETE FROM flowers WHERE Name =’ yanardoner';"
"Çiçekler tablosundan biberiye yi nergis olarak degistir","UPDATE flowers SET Name= 'nergis' WHERE Name= ‘biberiye’"
"kitaplar tablosundaki kitapları sayfa sayısına göre sırala","SELECT * FROM books ORDER BY Page_Number ASC;"
"hasta kabul tablosundan giriş tarihi son 2 saate ait olan hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -2, GETDATE())"
"çiçekler tablosundaki civan perçemini sil","DELETE FROM flowers WHERE Name =’ civan percemi';"
"filmler tablosunda 2022 de çıkan ilk film ne","SELECT FilmName FROM films WHERE FilmDate= 2022 ORDER BY FilmDate ASC LIMIT 1"
"filmler tablosundan Türk yapımı filmleri listele","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye"
"unvanlar tablosundan stajyerlerin isimlerini doğum tarihlerine göre listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Stajyer"" ORDER BY Date_of_birth"
"Çiçekler tablosundan biberiye yi gül olarak degistir","UPDATE flowers SET Name= ‘gül’ WHERE Name= ‘biberiye’"
"çiçekler tablosundan yasemin kaydını sil","DELETE FROM flowers WHERE Name =’ yasemin';"
"hastalar tablosundan kan grubu A olan erkek hastaları getir","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “ AND Gender =”erkek”"
"çiçekler tablosundan çiğdem i sil","DELETE FROM flowers WHERE Name =’ cigdem';"
"bölümler tablosundan Yazılım bölümündeki toplam öğrenci sayısı kaçtır","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Yazılım”"
"ürünler tablosunda listelenen ürünlerden hangilerinin birim fiyatı 15’den fazladır?","SELECT ProductName,Price FROM products WHERE Price>15"
"Çiçekler tablosundan biberiye yi papatya olarak degistir","UPDATE flowers SET Name= ‘papatya’ WHERE Name= ‘biberiye’"
"tedarikçiler tablosunda telefon numarası olmayanlar kimler","SELECT * FROM suppliers WHERE Phone IS NULL;"
"çiçekler tablosundan lavanta kaydını sil","DELETE FROM flowers WHERE Name =’ lavanta';"
"çalışanlar tablosunda ahmet eker’in email’ini getir","SELECT Name,email FROM employees WHERE Name=’ahmet eker’"
"müşteriler tablosundaki müşterilerden kaç tanesinin yaşı 30’dan büyük","SELECT COUNT (*) FROM customers WHERE Years >30"
"Çiçekler tablosundan biberiye yi petunya ile degistir","UPDATE flowers SET Name= 'petunya' WHERE Name= ‘biberiye’"
"çiçekler tablosundan yıldızçiçeği kaydını sil","DELETE FROM flowers WHERE Name =’ yildizcicegi';"
"filmler tablosundan Peter Robert Jackson u n çektiği filmler hangileridir","SELECT * FROM films WHERE Director = 'Peter Robert Jackson';"
"hastalar tablosundaki kan grubu B olan kadın hastaları alfabetik listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”B “ AND Gender =”kadın” ORDER BY patients.Name ASC"
"personeller tablosundan telefon numarası olmayan kişileri göster","SELECT * FROM employees WHERE Phone_Number IS NULL;"
"Çiçekler tablosundan petunya yı lale ile degistir","UPDATE flowers SET Name= ‘lale’ WHERE Name= ‘petunya’"
"kitaplar tablosundaki kitapları sayfa sayısına göre listele","SELECT * FROM books ORDER BY Page_Number ASC;"
"çiçekler tablosundaki yenibahar ı sil","DELETE FROM flowers WHERE Name =’ yenibahar';"
"filmler tablosundan 2000 yılından sonraki Amerikan yapımı filmleri göster","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye AND FilmDate > 2000"
"çiçekler tablosundaki defne kaydını sil","DELETE FROM flowers WHERE Name =’ defne ';"
"unvanlar tablosundan kadın uzerkek doktorları doğum tarihlerine göre sırala getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" AND Gender=”kadın” ORDER BY Date_of_birth"
"Çiçekler tablosundan petunya yı gül ile degistir","UPDATE flowers SET Name= ‘gul’ WHERE Name= ‘petunya’"
"öğrenciler tablosundan 14506 numaralı öğrencinin vize ve final notlarını getir","SELECT student.No,Vize,Final FROM notes WHERE No= 14506;"
"çiçekler tablosundan zambak kaydını sil","DELETE FROM flowers WHERE Name =’ zambak';"
"unvanlar tablosundan kadın cerrahları getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Cerrah"" AND Gender=”kadın”"
"filmler tablosunda George Miller tarafından yönetilen filmleri görüntüle","SELECT * FROM films WHERE Director = 'George Miller';"
"Çiçekler tablosundan petunya yı rezene ile degistir","UPDATE flowers SET Name= ‘rezene’ WHERE Name= ‘petunya’"
"çiçekler tablosundaki yüksükotu kaydını sil","DELETE FROM flowers WHERE Name =’ yüksükotu';"
"çalışanlar tablosundan işe giriş tarihi 2020 den sonra olan kişileri getir","SELECT Name,DateEntry FROM employees WHERE DateEntry>2020"
"müşteriler tablosundaki Türkiye dışında yaşayan tüm müşterileri getir","SELECT * FROM customers WHERE Country !=’Turkiye’"
"dersler tablosundan kredi sayısı 2 olan dersleri listele","SELECT * FROM lessons WHERE credit=2"
"çiçekler tablosundaki ebegümeci kaydını sil","DELETE FROM flowers WHERE Name =’ ebegümeci';"
"Çiçekler tablosundan petunya yı nane ile degistir","UPDATE flowers SET Name= ‘nane’ WHERE Name= ‘petunya’"
"filmler tablosunda serdar akar tarafından yönetilen filmleri görüntüle","SELECT * FROM films WHERE Director = ‘serdar akar’'"
"bölümler tablosundan Resim bölümündeki toplam öğrenci sayısı nedir","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Resim”"
"çiçekler tablosundan egrelti otu kaydını sil","DELETE FROM flowers WHERE Name =’ egrelti otu';"
"kitaplar tablosundaki Orerkekdaki Aslan kitabının yazarı kimdir","SELECT author.AuthorName,author.AuthorSurname,books.Books_Name FROM author INNER JOIN books ON author.AuthorID=books.AuthorID WHERE Books_Name=""orerkekdaki aslan"""
"dersler tablosunda hangi dersler 2 kredidir","SELECT * FROM lessons WHERE credit=2"
"filmler tablosundan Türk yapımı filmleri ekrana göster","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye"
"Çiçekler tablosundan petunya yı erkekolya ile degistir","UPDATE flowers SET Name= ‘lerkekolya’ WHERE Name= ‘petunya’"
"çiçekler tablosundan fesleğen kaydını sil","DELETE FROM flowers WHERE Name =’ feslegen';"
"hasta kabul tablosundan giriş tarihi son 1 saate ait olan çocuk hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -1, GETDATE()) AND Gender= ‘çocuk’"
"işçiler tablosundaki tüm işçi isimlerini ve maaşlarını ekrana getir","SELECT Name ,Salary FROM employees"
"unvanlar tablosundaki en son stajyerin bilgisini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Stajyer” ORDER BY TitleId DESC LIMIT 1"
"dersler tablosundan kredi sayısı 3 ün üstündeki dersleri listele","SELECT * FROM lessons WHERE credit > 3"
"personeller tablosundan adresi olan herkesi getir","SELECT * FROM employees WHERE Address IS NOT NULL;"
"çiçekler tablosundan gardenya kaydını sil","DELETE FROM flowers WHERE Name =’ gardenya';"
"Çiçekler tablosundan erkekolya yı lale ile degistir","UPDATE flowers SET Name= ‘lale’ WHERE Name= ‘erkekolya’"
"müşteriler tablosundaki hangi müşterinin doğum tarihi 31 Ocak 1866?","SELECT * FROM customers WHERE BirthDay=”31-01-1866”"
"ürünler tablosundan çadır ın ilk satıs yılı kaçtır","SELECT MIN(DateOfSale) FROM products WHERE ProductName= 'Çadır';"
"unvanlar tablosundan temizlikçi personellerinin listesini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"""
"filmler tablosunda Zeki demirkubuz tarafından yönetilen filmleri göster","SELECT * FROM films WHERE Director = 'zeki demirkubuz';"
"Çiçekler tablosundan erkekolya yı gül ile degistir","UPDATE flowers SET Name= ‘gül’ WHERE Name= ‘erkekolya’"
"tedarikçiler tablosundan sadece isimleri ve numaraları getir","SELECT SupplierName ,Phone FROM suppliers"
"çalışanlar tablosundan tüm isimleri ve doğum tarihlerini getir","SELECT Name, BirthDay FROM employees"
"ürün tablosundan 1. numaralı tedarikçinin sağladığı ürünler nelerdir","SELECT products.ProductName,suppliers.SupplierID FROM Products INNER JOIN Suppliers ON products.SupplierID=suppliers.SupplierID WHERE products.SupplierID=1"
"öğrenciler tablosunda kayıt yenilemeyen ilk 10 kişiyi listele","SELECT * FROM students WHERE RenewReg= “False” ORDER BY ASC No LIMIT 10"
"personeller tablosundan sadece kadınların adreslerini yazdır","SELECT Address FROM employees WHERE Gender=’kadın’;"
"hasta kabul tablosundan çocukları listele","SELECT * FROM patient_admission WHERE Gender= ‘çocuk’"
"çiçekler tablosundan gelincik kaydını sil","DELETE FROM flowers WHERE Name =’ gelincik';"
"unvanlar tablosundaki en son stajyerin bilgilerini yazdır","SELECT * FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Stajyer” ORDER BY TitleId DESC LIMIT 1"
"çiçekler tablosundan fulya kaydını sil","DELETE FROM flowers WHERE Name =’ fulya';"
"öğrenciler tablosundan Selen Nisa adlı öğrencinin tüm vize notlarını yazdır","SELECT students.Name,notes.Visa,notes.Final FROM students INNER JOIN notes ON students.No=notes.No WHERE students.Name=”Selen Nisa”"
"çiçekler tablosundan rezene yi sil","DELETE FROM flowers WHERE Name =’ rezene';"
"ürün tablosundan 1. numaralı tedarikçinin sağladığı ürün sayısı kaçtır","SELECT COUNT (*) FROM Products INNER JOIN Suppliers ON products.SupplierID=suppliers.SupplierID WHERE products.SupplierID=1"
"hasta kabul tablosundan giriş tarihi son 2 güne ait olan hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(DAY, -2, GETDATE());"
"çiçekler tablosundan güldefne kaydını sil","DELETE FROM flowers WHERE Name =’ güldefne ';"
"filmler tablosundan Türk yapımı filmleri film uzunluklarına göre sırala","SELECT films.Name, films.Duration,countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye ORDER BY Duration"
"personeller tablosundan nevzat gider nerede oturuyor","SELECT Address FROM employees WHERE Name = ' nevzat gider ';"
"ürün tablosunda fiyatı 40 tan yukarı olan ürünler hangisi","SELECT ProductName,Price FROM products WHERE Price>40"
"çiçekler tablosundan günebakan ı sil","DELETE FROM flowers WHERE Name =’ günebakan ';"
"müşteriler tablosundaki Türkiye dışında yaşayan tüm müşterilerin sayısı kactır","SELECT COUNT (*) FROM customers WHERE Country !=""Turkiye"""
"unvanlar tablosundan erkek cerrahları listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Cerrah"" AND Gender=”erkek”"
"ürün tablosunda fiyatı 40 tan yukarı olan ürün sayısı kaç","SELECT COUNT(*) FROM products WHERE Price>15"
"müşteriler tablosundaki Gürcistan da yaşayan tüm müşterilerin sayısı kaç","SELECT COUNT (*) FROM customers WHERE Country !=""Gürcistan"""
"çiçekler tablosundan hanımeli kaydını sil","DELETE FROM flowers WHERE Name =’ hanımeli';"
"unvanlar tablosundan temizlikçi personellerini alfabetik yazdır","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY Name ASC"
"filmler tablosundan Peter Robert jackson un çektiği filmler nelerdir","SELECT * FROM filmler WHERE Director = 'Peter Robert jackson ';"
"çiçekler tablosundan hatmi kaydını sil","DELETE FROM flowers WHERE Name =’ hatmi';"
"filmler tablosundaki en düşük imdb puanına sahip film hangisi","SELECT FilmName FROM films WHERE Imdb_score= (SELECT MIN(Imdb_score) FROM Films);"
"hastalar tablosundaki kan grubu B olan hastaları alfabetik listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”B “ ORDER BY patients.Name ASC"
"filmler tablosundan 2000 yılından önceki Türk yapımı filmleri göster","SELECT films.Name, films.FilmDate ,countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye AND FilmDate <2000"
"müşteriler tablosundaki Türkiye dışında yaşayan tüm müşterileri listele","SELECT * FROM customers WHERE Country !=""Turkiye"""
"personeller tablosundan tüm erkeklere ait bilgileri getir","SELECT * FROM employees WHERE Gender = 'erkek';"
"öğrenciler tablosundan 9865 numaralı öğrencinin vize ve final notlarını göster","SELECT students.No,Visa,Final FROM notes WHERE No= 9865;"
"çiçekler tablosundan ıhlamur kaydını sil","DELETE FROM flowers WHERE Name =’ ihlamur';"
"müşteriler tablosundaki Mısır da yaşayan tüm müşterilerin sayısı kaç","SELECT COUNT (*) FROM customers WHERE Country !=""Mısır"""
"hastalar tablosundan kan grubu B olan erkek hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”B “ AND Gender =”erkek”"
"unvanlar tablosundan temizlikçi personellerinin tümünü yazdır","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"""
"kitaplar tablosunda 17. rafta yer alan kitaplari neler","SELECT * FROM books WHERE Shelf = 17;"
"işçiler tablosundaki işçi isimlerini ve tüm maaşlarını listele","SELECT Name ,Salary FROM employees"
"çiçekler tablosundan hercai çicek kaydını sil","DELETE FROM flowers WHERE Name =’ hercai çicek';"
"müşteriler tablosunda A harfi ile başlayan kişileri ve numaralarını getir","SELECT CustomerName,PhoneNumber FROM customers WHERE CustomerName LIKE 'A%';"
"unvanlar tablosundaki en son cerrahın bilgilerini yazdır","SELECT * FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Cerrah"" ORDER BY TitleId DESC LIMIT 1"
"çalışanlar tablosundan hangisinin not kısmı boş","SELECT Name,Note FROM employees WHERE Note IS NULL"
